empresa,data,data_formatada,Open,High,Low,Close,Volume,retorno_diario,retorno_diario_2d,posi,ind_posi,neg,ind_neg,neu,ind_neu,indice
ccr,2016-05-11,2016-05-11,16.5,16.59,16.32,16.559999,5476300.0,-0.0036297076641035745,0.04291979247296337,56.0,0.199288256227758,43.0,0.1530249110320284,182.0,0.6476868327402135,0.0462633451957295
ccr,2022-11-11,2022-11-11,11.5,11.5,10.92,11.4,11305800.0,0.008733679968754631,0.021090412657660075,61.0,0.3177083333333333,10.0,0.0520833333333333,121.0,0.6302083333333334,0.265625
ccr,2013-05-15,2013-05-15,20.18,20.5,20.16,20.5,2429300.0,-0.01573287121889961,0.004955461205054031,29.0,0.2543859649122807,9.0,0.0789473684210526,76.0,0.6666666666666666,0.175438596491228
ccr,2012-11-13,2012-11-13,18.309999,18.559999,18.200001,18.5,2873800.0,-0.010323428012825745,0.013532006218576373,33.0,0.2408759124087591,16.0,0.1167883211678832,88.0,0.6423357664233577,0.1240875912408759
ccr,2018-08-15,2018-08-15,10.18,10.33,10.07,10.15,10354000.0,0.0029513056345803197,-0.04830904797059184,33.0,0.2129032258064516,26.0,0.1677419354838709,96.0,0.6193548387096774,0.0451612903225806
ccr,2012-05-16,2012-05-16,15.5,15.58,15.12,15.3,3370900.0,0.012987195526811112,0.022662025180998784,48.0,0.1568627450980392,37.0,0.1209150326797385,221.0,0.7222222222222222,0.0359477124183006
ccr,2014-08-12,2014-08-12,17.59,18.200001,17.51,18.139999,6411100.0,-0.030788830810730618,0.00794116481759611,24.0,0.1454545454545454,31.0,0.1878787878787878,110.0,0.6666666666666666,-0.0424242424242424
ccr,2019-04-30,2019-04-30,11.59,11.9,11.56,11.69,10396600.0,-0.008591118132316675,0.0239532410224928,52.0,0.1857142857142857,33.0,0.1178571428571428,195.0,0.6964285714285714,0.0678571428571428
ccr,2020-05-15,2020-05-15,11.4,11.61,10.97,10.97,9717200.0,0.038449081113310905,0.031775966703701926,55.0,0.2022058823529411,32.0,0.1176470588235294,185.0,0.6801470588235294,0.0845588235294117
ccr,2015-08-11,2015-08-11,14.19,14.71,14.15,14.7,4100000.0,-0.0353100026127393,0.009030974890538092,39.0,0.168103448275862,24.0,0.1034482758620689,169.0,0.728448275862069,0.0646551724137931
ccr,2018-10-26,2018-10-26,10.17,10.51,9.94,10.15,15667300.0,0.0019685045726721534,0.013579258126380854,45.0,0.2,32.0,0.1422222222222222,148.0,0.6577777777777778,0.0577777777777777
ccr,2018-02-23,2018-02-23,15.0,15.0,13.79,14.73,23307600.0,0.01816397062767112,-0.16934489456817467,32.0,0.2807017543859649,16.0,0.1403508771929824,66.0,0.5789473684210527,0.1403508771929824
ccr,2012-08-14,2012-08-14,18.950001,19.24,19.059999,19.120001,3706300.0,-0.008930975625626503,-0.018192101009546078,69.0,0.1662650602409638,48.0,0.1156626506024096,298.0,0.7180722891566265,0.0506024096385542
ccr,2022-08-12,2022-08-12,14.05,14.75,13.89,14.69,10934900.0,-0.04454459440603108,0.057198787701915804,54.0,0.2432432432432432,14.0,0.063063063063063,154.0,0.6936936936936937,0.1801801801801801
ccr,2022-05-13,2022-05-13,12.37,12.68,12.26,12.46,12364700.0,-0.007249326954910667,0.0296614931380867,51.0,0.301775147928994,20.0,0.1183431952662721,98.0,0.5798816568047337,0.1834319526627219
