Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,8.470000,8.500000,8.380000,8.420000,6.088759,6611000
2015-01-05,8.130000,8.140000,7.920000,7.930000,5.734424,21728700
2015-01-06,7.930000,8.000000,7.720000,7.780000,5.625955,10151900
2015-01-07,7.870000,7.930000,7.750000,7.900000,5.712729,8434100
2015-01-08,7.660000,7.920000,7.340000,7.350000,5.315008,68825400
2015-01-09,7.170000,7.170000,6.650000,6.880000,5.100037,59412200
2015-01-12,6.910000,6.970000,6.790000,6.910000,5.122274,20108700
2015-01-13,7.010000,7.070000,6.900000,6.980000,5.174164,19834200
2015-01-14,6.970000,7.010000,6.910000,6.960000,5.159338,18310800
2015-01-15,6.960000,6.980000,6.890000,6.960000,5.159338,15348400
2015-01-16,6.910000,6.980000,6.860000,6.950000,5.151927,10645200
2015-01-20,7.060000,7.070000,6.990000,7.060000,5.233468,13829600
2015-01-21,6.900000,7.050000,6.890000,7.040000,5.218641,17932700
2015-01-22,7.010000,7.070000,6.970000,7.050000,5.226055,12361400
2015-01-23,6.950000,7.030000,6.890000,6.940000,5.144513,9146400
2015-01-26,7.000000,7.060000,7.000000,7.030000,5.211229,9706400
2015-01-27,7.000000,7.010000,6.930000,7.000000,5.188989,8257400
2015-01-28,6.800000,6.810000,6.620000,6.620000,4.907302,14071900
2015-01-29,6.760000,6.860000,6.720000,6.860000,5.085211,11632900
2015-01-30,6.760000,6.790000,6.660000,6.690000,4.959193,7572000
2015-02-02,6.630000,6.770000,6.610000,6.760000,5.011082,10204500
2015-02-03,7.040000,7.150000,7.030000,7.140000,5.292770,11737100
2015-02-04,7.000000,7.090000,6.940000,6.960000,5.159338,10771800
2015-02-05,6.920000,7.020000,6.890000,7.020000,5.203816,7079200
2015-02-06,6.940000,6.990000,6.880000,6.900000,5.114862,8900000
2015-02-09,6.740000,6.840000,6.740000,6.800000,5.040733,8166500
2015-02-10,6.930000,6.940000,6.830000,6.890000,5.107448,5883500
2015-02-11,6.810000,6.820000,6.730000,6.780000,5.025908,7026200
2015-02-12,6.960000,7.050000,6.940000,7.050000,5.226055,7117100
2015-02-13,7.150000,7.230000,7.130000,7.180000,5.322422,8041700
2015-02-17,7.200000,7.250000,7.110000,7.220000,5.352073,6724800
2015-02-18,7.250000,7.300000,7.210000,7.280000,5.396550,5621700
2015-02-19,7.290000,7.350000,7.270000,7.290000,5.403962,6416100
2015-02-20,7.170000,7.420000,7.110000,7.410000,5.492916,14271600
2015-02-23,7.260000,7.300000,7.230000,7.290000,5.403962,8399200
2015-02-24,7.250000,7.330000,7.240000,7.310000,5.418789,5033900
2015-02-25,7.260000,7.300000,7.240000,7.300000,5.411376,5145200
2015-02-26,7.240000,7.290000,7.220000,7.240000,5.366898,4637600
2015-02-27,7.250000,7.310000,7.200000,7.280000,5.396550,4311400
2015-03-02,7.300000,7.320000,7.270000,7.300000,5.411376,4642500
2015-03-03,7.240000,7.240000,7.170000,7.230000,5.359487,5602700
2015-03-04,7.190000,7.210000,7.110000,7.200000,5.337247,3892500
2015-03-05,7.210000,7.220000,7.170000,7.190000,5.329835,2681500
2015-03-06,7.050000,7.080000,6.980000,6.980000,5.174164,8061600
2015-03-09,7.010000,7.060000,6.990000,7.060000,5.233468,4624600
2015-03-10,6.820000,6.830000,6.750000,6.760000,5.011082,8841600
2015-03-11,6.730000,6.810000,6.700000,6.770000,5.018495,6786400
2015-03-12,6.840000,6.900000,6.820000,6.870000,5.092623,6265900
2015-03-13,6.790000,6.790000,6.710000,6.770000,5.018495,15063000
2015-03-16,6.850000,6.870000,6.820000,6.860000,5.085211,5352000
2015-03-17,6.780000,6.860000,6.760000,6.860000,5.085211,4522900
2015-03-18,6.820000,6.980000,6.780000,6.940000,5.144513,8647600
2015-03-19,6.870000,6.900000,6.820000,6.870000,5.092623,3628300
2015-03-20,7.170000,7.320000,7.130000,7.280000,5.396550,13410500
2015-03-23,7.420000,7.430000,7.360000,7.420000,5.500329,6690800
2015-03-24,7.520000,7.560000,7.480000,7.510000,5.567045,9361500
2015-03-25,7.480000,7.520000,7.440000,7.460000,5.529981,5074900
2015-03-26,7.460000,7.500000,7.360000,7.460000,5.529981,8786800
2015-03-27,7.400000,7.480000,7.360000,7.470000,5.537394,8604800
2015-03-30,7.530000,7.560000,7.490000,7.500000,5.559632,4623500
2015-03-31,7.410000,7.490000,7.390000,7.450000,5.522568,5416700
2015-04-01,7.540000,7.540000,7.440000,7.520000,5.574458,4936200
2015-04-02,7.610000,7.660000,7.590000,7.640000,5.663412,4174900
2015-04-06,7.650000,7.790000,7.640000,7.720000,5.722715,8561400
2015-04-07,7.700000,7.730000,7.630000,7.630000,5.655999,11589600
2015-04-08,7.670000,7.670000,7.530000,7.590000,5.626348,5523500
2015-04-09,7.390000,7.400000,7.320000,7.390000,5.599826,4207900
2015-04-10,7.280000,7.320000,7.220000,7.320000,5.546783,5059600
2015-04-13,7.330000,7.380000,7.310000,7.310000,5.539206,4324600
2015-04-14,7.240000,7.300000,7.240000,7.300000,5.531628,5314900
2015-04-15,7.300000,7.340000,7.250000,7.310000,5.539206,6067000
2015-04-16,7.290000,7.300000,7.200000,7.240000,5.486162,4208100
2015-04-17,7.060000,7.080000,6.990000,7.070000,5.357343,8607800
2015-04-20,7.000000,7.070000,6.990000,7.050000,5.342189,5236300
2015-04-21,7.060000,7.070000,7.010000,7.040000,5.334611,8972800
2015-04-22,6.990000,7.060000,6.940000,7.020000,5.319458,5593700
2015-04-23,7.000000,7.150000,7.000000,7.120000,5.395233,4459800
2015-04-24,7.200000,7.260000,7.130000,7.260000,5.501318,7063300
2015-04-27,7.310000,7.370000,7.280000,7.290000,5.524052,5335900
2015-04-28,7.460000,7.520000,7.450000,7.480000,5.668024,6278500
2015-04-29,7.510000,7.580000,7.450000,7.490000,5.675602,7651200
2015-04-30,7.540000,7.590000,7.500000,7.520000,5.698335,5275200
2015-05-01,7.490000,7.580000,7.490000,7.540000,5.713490,6262200
2015-05-04,7.550000,7.570000,7.490000,7.490000,5.675602,2644900
2015-05-05,7.400000,7.410000,7.260000,7.280000,5.516474,6034900
2015-05-06,7.390000,7.500000,7.380000,7.410000,5.614981,5802000
2015-05-07,7.380000,7.450000,7.330000,7.360000,5.577093,4171300
2015-05-08,7.480000,7.620000,7.470000,7.610000,5.766532,6597300
2015-05-11,7.530000,7.570000,7.500000,7.520000,5.698335,3278700
2015-05-12,7.510000,7.530000,7.470000,7.520000,5.698335,6834500
2015-05-13,7.570000,7.610000,7.500000,7.520000,5.698335,13144500
2015-05-14,7.630000,7.660000,7.590000,7.590000,5.751377,6087800
