Empresa,Trimestre,data_formatada,Posi,pos_ind,Neg,neg_ind,Neutral,neu_ind,indice
brf,2022-2T,2022-08-11,134,0.2427536231884058,68,0.1231884057971014,350,0.6340579710144928,0.1195652173913043
brf,2021-1T,2021-05-13,109,0.2385120350109409,58,0.1269146608315098,290,0.6345733041575492,0.111597374179431
brf,2022-4T,2023-03-01,169,0.3470225872689938,49,0.1006160164271047,269,0.5523613963039015,0.2464065708418891
brf,2019-4T,2019-03-03,171,0.3092224231464738,70,0.1265822784810126,312,0.5641952983725136,0.1826401446654611
bradesco,2017-3T,3T2017,64,0.2976744186046511,32,0.1488372093023255,119,0.5534883720930233,0.1488372093023255
bradesco,2017-1T,1T2017,83,0.2618296529968454,65,0.2050473186119873,169,0.5331230283911672,0.056782334384858
bradesco,2016-3T,3T2016,183,0.3401486988847583,99,0.1840148698884758,256,0.4758364312267658,0.1561338289962825
bradesco,2015-3T,3T2015,33,0.1034482758620689,62,0.1943573667711598,224,0.7021943573667712,-0.0909090909090909
bradesco,2016-4T,4T2016,139,0.2271241830065359,97,0.1584967320261437,376,0.6143790849673203,0.0686274509803921
natura,2021-4T,4T2021,161,0.3726851851851852,60,0.1388888888888889,211,0.4884259259259259,0.2337962962962963
natura,2020-1T,1T2020,155,0.3855721393034826,56,0.1393034825870646,191,0.4751243781094527,0.2462686567164179
natura,2017-4T,4T2017,191,0.3979166666666666,19,0.0395833333333333,270,0.5625,0.3583333333333333
natura,2021-1T,1T2021,170,0.4970760233918128,20,0.0584795321637426,152,0.4444444444444444,0.4385964912280701
natura,2021-2T,2T2021,180,0.4787234042553192,12,0.0319148936170212,184,0.4893617021276595,0.4468085106382978
natura,2020-3T,3T2020,200,0.4807692307692308,19,0.0456730769230769,197,0.4735576923076923,0.4350961538461538
natura,2021-3T,3T2021,154,0.4387464387464387,34,0.0968660968660968,163,0.4643874643874643,0.3418803418803419
natura,2020-2T,2T2020,8,0.8888888888888888,1,0.1111111111111111,0,0.0,0.7777777777777778
natura,2022-4T,4T2022,134,0.3621621621621622,52,0.1405405405405405,184,0.4972972972972973,0.2216216216216216
natura,2019-2T,2T2019,0,0.0,4,0.3333333333333333,8,0.6666666666666666,-0.3333333333333333
natura,2019-3T,3T2019,13,1.0,0,0.0,0,0.0,1.0
natura,2020-4T,4T2020,171,0.4885714285714285,19,0.0542857142857142,160,0.4571428571428571,0.4342857142857143
hapvida,2021-4T,4T2021,159,0.2548076923076923,87,0.1394230769230769,378,0.6057692307692307,0.1153846153846153
hapvida,2022-3T,3T2022,111,0.3245614035087719,52,0.1520467836257309,179,0.5233918128654971,0.1725146198830409
hapvida,2019-1T,1T2019,83,0.3085501858736059,55,0.2044609665427509,131,0.4869888475836431,0.104089219330855
hapvida,2018-3T,3T2018,131,0.3465608465608465,36,0.0952380952380952,211,0.5582010582010583,0.2513227513227513
hapvida,2022-2T,2T2022,129,0.3543956043956044,30,0.0824175824175824,205,0.5631868131868132,0.2719780219780219
hapvida,2022-1T,1T2022,182,0.3121783876500857,75,0.1286449399656946,326,0.5591766723842195,0.1835334476843911
hapvida,2021-1T,1T2021,108,0.288,59,0.1573333333333333,208,0.5546666666666666,0.1306666666666666
hapvida,2021-2T,2T2021,124,0.3415977961432507,70,0.1928374655647383,169,0.465564738292011,0.1487603305785124
hapvida,2020-3T,3T2020,103,0.4309623430962343,15,0.0627615062761506,121,0.5062761506276151,0.3682008368200837
hapvida,2018-1T,1T2018,61,0.3609467455621302,17,0.1005917159763313,91,0.5384615384615384,0.2603550295857988
hapvida,2022-4T,4T2022,194,0.3265993265993266,79,0.132996632996633,321,0.5404040404040404,0.1936026936026936
hapvida,2019-4T,4T2019,127,0.2754880694143167,69,0.1496746203904555,265,0.5748373101952278,0.1258134490238611
hapvida,2019-2T,2T2019,85,0.3648068669527897,16,0.0686695278969957,132,0.5665236051502146,0.296137339055794
hapvida,2018-4T,4T2018,136,0.3333333333333333,52,0.1274509803921568,220,0.5392156862745098,0.2058823529411764
hapvida,2019-3T,3T2019,57,0.5277777777777778,12,0.1111111111111111,39,0.3611111111111111,0.4166666666666667
hapvida,2020-4T,4T2020,137,0.3959537572254335,44,0.1271676300578034,165,0.476878612716763,0.26878612716763
magazine_luiza,2017-3T,3T2017,184,0.46,21,0.0525,195,0.4875,0.4075
magazine_luiza,2021-4T,4T2021,160,0.3800475059382422,27,0.0641330166270783,234,0.5558194774346793,0.3159144893111639
magazine_luiza,2018-2T,2T2018,172,0.4215686274509804,22,0.0539215686274509,214,0.5245098039215687,0.3676470588235294
magazine_luiza,2019-1T,1T2019,152,0.4198895027624309,28,0.0773480662983425,182,0.5027624309392266,0.3425414364640884
magazine_luiza,2020-1T,1T2020,271,0.2901498929336188,116,0.1241970021413276,547,0.5856531049250535,0.1659528907922912
magazine_luiza,2018-3T,3T2018,198,0.375,40,0.0757575757575757,290,0.5492424242424242,0.2992424242424242
magazine_luiza,2017-4T,4T2017,120,0.4152249134948096,16,0.0553633217993079,153,0.5294117647058824,0.3598615916955017
magazine_luiza,2013-3T,3T2013,132,0.3410852713178294,35,0.0904392764857881,220,0.5684754521963824,0.2506459948320413
magazine_luiza,2017-2T,2T2017,214,0.3977695167286245,32,0.0594795539033457,292,0.5427509293680297,0.3382899628252788
magazine_luiza,2021-3T,3T2021,109,0.2759493670886076,24,0.060759493670886,262,0.6632911392405063,0.2151898734177215
magazine_luiza,2018-1T,1T2018,199,0.4234042553191489,21,0.0446808510638297,250,0.5319148936170213,0.3787234042553191
