empresa,data,data_formatada,Open,High,Low,Close,Volume,retorno_diario,retorno_diario_2d,posi,ind_posi,neg,ind_neg,neu,ind_neu,indice
brf,2017-11-09,2017-11-10,43.459999,43.459999,41.939999,43.0,1882000.0,0.01064083612505689,0.011263238510796875,118.0,0.3241758241758242,25.0,0.0686813186813186,221.0,0.6071428571428571,0.2554945054945055
brf,2017-11-10,2017-11-10,43.75,43.75,40.599998,41.02,7369400.0,0.06443186015938887,-0.033099996503269044,118.0,0.3241758241758242,25.0,0.0686813186813186,221.0,0.6071428571428571,0.2554945054945055
brf,2017-11-13,2017-11-10,41.599998,42.009998,40.029999,41.900002,3445600.0,-0.007185755470494416,0.024799609993509258,118.0,0.3241758241758242,25.0,0.0686813186813186,221.0,0.6071428571428571,0.2554945054945055
brf,2022-02-24,2022-02-25,17.780001,17.780001,16.799999,17.34,19858300.0,0.025058314976330667,-0.06028611260367854,126.0,0.2751091703056768,55.0,0.1200873362445414,277.0,0.6048034934497817,0.1550218340611353
brf,2022-02-25,2022-02-25,17.379999,17.5,16.57,16.709999,15965100.0,0.03931277953694906,-0.07419669936197842,126.0,0.2751091703056768,55.0,0.1200873362445414,277.0,0.6048034934497817,0.1550218340611353
brf,2022-03-02,2022-02-25,16.1,16.780001,16.059999,16.52,8459400.0,-0.025752496102414625,-0.009621241362786689,126.0,0.2751091703056768,55.0,0.1200873362445414,277.0,0.6048034934497817,0.1550218340611353
brf,2016-04-28,2016-04-29,49.380001,49.490002,48.830002,49.0,2393300.0,0.007725206057520428,-0.02957699649732383,155.0,0.3063241106719367,72.0,0.1422924901185771,279.0,0.5513833992094862,0.1640316205533596
brf,2016-04-29,2016-04-29,47.970001,50.849998,47.650002,49.200001,6567300.0,-0.025317807463130716,-0.00040824658660504467,155.0,0.3063241106719367,72.0,0.1422924901185771,279.0,0.5513833992094862,0.1640316205533596
brf,2016-05-02,2016-04-29,48.98,49.450001,48.400002,48.459999,2094000.0,0.010673356771217887,-0.02157246404246781,155.0,0.3063241106719367,72.0,0.1422924901185771,279.0,0.5513833992094862,0.1640316205533596
brf,2022-11-09,2022-11-10,12.09,12.49,11.98,11.98,9020400.0,0.00914007193939798,-0.024258822393424407,148.0,0.3936170212765957,32.0,0.0851063829787234,196.0,0.5212765957446809,0.3085106382978723
brf,2022-11-10,2022-11-10,11.81,11.83,10.81,11.0,19639700.0,0.07105135741090048,-0.08534331988893275,148.0,0.3936170212765957,32.0,0.0851063829787234,196.0,0.5212765957446809,0.3085106382978723
brf,2022-11-11,2022-11-10,11.0,11.49,10.82,11.33,14834100.0,-0.02955880224154439,0.043581819062293886,148.0,0.3936170212765957,32.0,0.0851063829787234,196.0,0.5212765957446809,0.3085106382978723
brf,2018-08-09,2018-08-10,22.620001,22.74,21.6,21.84,5299700.0,0.03509136401993387,-0.06604880433873293,92.0,0.2277227722772277,65.0,0.1608910891089109,247.0,0.6113861386138614,0.0668316831683168
brf,2018-08-10,2018-08-10,21.09,21.17,20.1,20.440001,12222500.0,0.031305180231501785,-0.08302333581167416,92.0,0.2277227722772277,65.0,0.1608910891089109,247.0,0.6113861386138614,0.0668316831683168
brf,2018-08-13,2018-08-10,20.1,20.33,19.32,20.200001,8809100.0,-0.0049628388470781964,0.0004891171293836815,92.0,0.2277227722772277,65.0,0.1608910891089109,247.0,0.6113861386138614,0.0668316831683168
brf,2014-07-31,2014-08-01,56.639999,56.639999,55.029999,55.5,2026200.0,0.02033241097770817,-0.014184617386322476,125.0,0.2729257641921397,59.0,0.1288209606986899,274.0,0.5982532751091703,0.1441048034934497
brf,2014-08-01,2014-08-01,56.0,57.450001,55.740002,56.959999,2021900.0,-0.016997558812391192,0.031044621681960108,125.0,0.2729257641921397,59.0,0.1288209606986899,274.0,0.5982532751091703,0.1441048034934497
brf,2014-08-04,2014-08-01,57.25,57.950001,56.900002,57.669998,1197000.0,-0.00730943051289527,0.002630000639299201,125.0,0.2729257641921397,59.0,0.1288209606986899,274.0,0.5982532751091703,0.1441048034934497
brf,2019-05-09,2019-05-10,30.27,31.059999,29.84,30.73,8520700.0,-0.015082253108766057,0.003285186977023205,81.0,0.1519699812382739,105.0,0.1969981238273921,347.0,0.651031894934334,-0.0450281425891182
brf,2019-05-10,2019-05-10,30.49,30.49,29.389999,29.879999,9909500.0,0.020209434202749413,-0.04084911279661917,81.0,0.1519699812382739,105.0,0.1969981238273921,347.0,0.651031894934334,-0.0450281425891182
brf,2019-05-13,2019-05-10,29.5,30.139999,29.4,29.98,6217500.0,-0.01614022932867757,0.007003563844539972,81.0,0.1519699812382739,105.0,0.1969981238273921,347.0,0.651031894934334,-0.0450281425891182
brf,2020-05-12,2020-05-13,21.08,21.459999,20.299999,20.370001,15767000.0,0.034261444342646705,-0.015953927942241704,146.0,0.2796934865900383,83.0,0.1590038314176245,293.0,0.5613026819923371,0.1206896551724138
brf,2020-05-13,2020-05-13,20.52,22.85,20.4,22.85,26261600.0,-0.10755109703764495,0.1126972127702302,146.0,0.2796934865900383,83.0,0.1590038314176245,293.0,0.5613026819923371,0.1206896551724138
brf,2020-05-14,2020-05-13,22.799999,23.379999,21.82,23.059999,21940500.0,-0.011338979375032627,0.0061082214348763385,146.0,0.2796934865900383,83.0,0.1590038314176245,293.0,0.5613026819923371,0.1206896551724138
brf,2015-07-30,2015-07-31,68.989998,69.18,68.300003,69.089996,2001000.0,-0.0014484070368949652,0.0024614360338379806,189.0,0.4364896073903002,33.0,0.0762124711316397,211.0,0.48729792147806,0.3602771362586605
